Customer,Var6,Var7,Var13,Var21,Var22,Var25,Var28,Var35,Var38,Var44,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var132,Var133,Var134,Var140,Var143,Var144,Var149,Var153,Var160,Var163,Var173,Var181,Var192,Var193,Var195,Var196,Var197,Var198,Var199,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var210,Var211,Var212,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var226,Var227,Var228
1,3997,14,288,80,100,80,166.56,5,1036800,0,4.919462,45,34,0,693120,0,35878.8,5,6,16,16,-760896,410,12,10638,8,550020,1575812,2445,0,0,0,5704280,4,1555200,0,0,hSovyx7IEC,RO12,taul,1K8T,7wJ6,T0p1U9m,LJF4fPp,BSfl,9_Y1,f4dr,VpdQ,IYzP,DHn_WUyBhW_whjA88g9bvA64_,kIsH,uKAI,L84s,CrNX,NGZ_12K,2T2W,cJvF,FzaX,CJTa6EW,d0EEeJi,h0eUBsd,LM8l689qOp,szEZ,nIGXDli,F2FyR07IdsN7I
1,1001,7,12,188,235,96,292.32,0,990942,0,2.251869,9,116,0,1796576,0,138595.2,25,12,40,32,334591.2,655,18,1341,0,3029265,1914078,50,0,27,1209600,10580720,34,2301078,0,0,JMGq9aXt5a,2Knk1KF,taul,1K8T,TLkP,b2zbY3_,FoJylxy,Y47A,9_Y1,Y9Bl,VpdQ,6JmL,me75fM6ugJ,kIsH,uKAI,Mtgm,XfqtO3UdzaXh_,XTbPUYD,BCds,UYBR,FzaX,2Wb19U9,oslk,SQ6wBif,LM8l689qOp,uWr3,RAYp,55YFVY9
1,1267,0,0,108,135,32,166.56,0,181350,0,5.401196,9,32,0,1060872,0,24488.13,5,4,40,96,-265109.6,455,6,189,0,218500,72832,0,0,9,0,990932,14,22050,0,0,dRaTmBfHUn,RO12,taul,1K8T,JLbT,gNIgCYR,BcWyIihjS_,lJO3,9_Y1,4N0K,VpdQ,sYC_,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,7Ww_Xqy,nKzj,UYBR,FzaX,aD1vOIl,oslk,NnYzgmc,LM8l689qOp,Qu4f,RAYp,F2FyR07IdsN7I
1,224,7,92,120,150,192,133.12,0,3078,0,5.574236,9,100,0,0,0,7599.33,0,2,8,0,61610,590,6,115263,0,270550,268290,770,0,9,0,757080,8,3012,0,0,avkq9ayfAo,eSGpMwS8zSGgq_trOpckZ5,taul,1K8T,lK27,A2BnYyd,VKmQoSsVfi,8Gmb,9_Y1,QBpP,sJzTlal,wMei,GjJ35utlTa_GNSvxxpb9ju,kIsH,uKAI,L84s,UbxQ8lZ,teAAe2o,uFco,UYBR,FzaX,LedFAt2,Al6ZaUT,knD4IB0,LM8l689qOp,7P5s,02N6s8f,R4y5gQQWY8OodqDV
1,1470,0,84,124,155,8,166.56,0,9045120,0,4.04294,9,38,7,1382400,0,125835.6,35,0,32,16,107988.8,495,108,184626,0,1111090,172800,0,0,0,0,10374960,6,0,0,0,qXhvyxLp3Z,RO12,taul,1K8T,Xa_z,ka_ns41,_jTP8ioIlJ,hdoM,9_Y1,FbIm,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAjbk_S,w3nf,UYBR,FzaX,1YVfGrO,oslk,fXVEsaq,jySVZNlOJy,xb3V,RAYp,F2FyR07IdsN7I
1,1043,7,256,40,50,8,255.44,0,3628800,0,1.746208,9,52,56,1157456,0,179615.1,5,0,8,8,204041.2,350,6,66366,0,3671565,1209600,3440,0,9,0,9327280,12,0,0,0,bt0mfoVBLR,RO12,taul,1K8T,487l,jX5lhSa,VxueejWCG_,IZTy,9_Y1,Bw19,VpdQ,IYzP,me75fM6ugJ,kIsH,g5HH,L84s,NhsEn4L,mAjbk_S,ofv7,cJvF,FzaX,WEga9N8,oslk,NbpRb9q,LM8l689qOp,wX53,RAYp,F2FyR07IdsN7I
1,861,7,8,356,445,96,99.68,0,57570,0,1.290964,9,32,0,636648,9,11029.53,40,46,128,96,198528.8,710,72,1620,24,1963065,69800,40,0,9,172340,2251612,44,191952,0,0,etYt0G8EIb,RO12,taul,1K8T,0Y9G,gwY4NQF,k10MzgT,KBdR,9_Y1,k13i,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAjbk_S,alQY,UYBR,FzaX,t5EoLzk,oslk,ag5iNPX,LM8l689qOp,fKCe,RAYp,F2FyR07IdsN7I
1,1295,7,5084,148,185,16,322.16,0,5969892,0,6.74279,27,150,126,691200,0,114444.3,30,4,32,8,130011.2,795,72,8307,0,3875460,173282,2020,0,27,0,10113800,28,1036800,0,0,Qu0r4RKzJV,AERks4l,taul,1K8T,TyGl,fhk21Ss,fo8oHA5,AUPk,9_Y1,DtNL,VpdQ,6JmL,7M47J5GA0pTYIFxg5uy,kIsH,uKAI,L84s,WsRVNrF85oPU_,11pRpOD,BUau,UYBR,FzaX,4UxGlow,zCkv,catzS2D,jySVZNlOJy,FSa2,ZI9m,ib5G6X1eUxUn6
1,707,7,1156,128,160,8,166.56,0,9880980,0,3.348644,9,176,0,1382400,0,204415.2,25,0,32,16,140318.4,470,120,80271,0,1321440,35756,115,0,27,0,10135160,8,0,0,0,LDPvyxdtN_,g62hiBSaKg,taul,1K8T,hM6W,fhk21Ss,EXpWEXgaYpMJ7,_dDp,9_Y1,RcM7,VpdQ,y6dw,7M47J5GA0pTYIFxg5uy,kIsH,g5HH,L84s,_5OXC8MSLt,XTbj5PX,FgZP,cJvF,AU8_WTd,4UxGlow,oslk,catzS2D,jySVZNlOJy,szEZ,ZI9m,ib5G6X1eUxUn6
1,2093,7,384,148,185,16,200,0,6721380,0,2.106388,9,60,42,2776712,0,57109.8,25,0,40,40,344370.8,575,96,107082,0,3888000,101412,4560,0,18,10423,10800480,18,0,0,0,NESt0G8EIb,RO12,taul,1K8T,TyGl,gwY4NQF,bAyJC1anwc,QFV7,9_Y1,k13i,09_Q,sYC_,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,kq0n8Bj,gFZi,UYBR,FzaX,t5EoLzk,oslk,ag5iNPX,LM8l689qOp,fKCe,RAYp,F2FyR07IdsN7I
