âÔàıID	ÉrÅ[Éãçwì¸é“	óàìXïpìx	ÉIÉÄÉcçwì¸é“
1	FALSE	0.5	FALSE
2	FALSE	0.5	FALSE
3	TRUE	4.5	FALSE
4	FALSE	2	FALSE
5	FALSE	1	FALSE
6	FALSE	1	FALSE
7	TRUE	2.5	FALSE
8	FALSE	2	FALSE
9	FALSE	0.5	FALSE
10	FALSE	1.5	FALSE
11	FALSE	0.5	FALSE
12	FALSE	1	FALSE
13	TRUE	0.5	FALSE
14	FALSE	4.5	FALSE
15	FALSE	1	FALSE
16	FALSE	1	FALSE
17	FALSE	3	FALSE
18	FALSE	4	FALSE
19	FALSE	13.5	FALSE
20	FALSE	1	FALSE
21	FALSE	7	FALSE
22	FALSE	0.5	FALSE
23	FALSE	1.5	FALSE
24	FALSE	0.5	FALSE
25	TRUE	6	FALSE
26	FALSE	2.5	FALSE
27	FALSE	1.5	FALSE
28	FALSE	0.5	FALSE
29	FALSE	0.5	FALSE
30	FALSE	7.5	FALSE
31	FALSE	2	FALSE
32	FALSE	2.5	FALSE
33	FALSE	1	FALSE
34	TRUE	0.5	FALSE
35	FALSE	7	FALSE
36	FALSE	1	FALSE
37	FALSE	2.5	FALSE
38	FALSE	7	FALSE
39	FALSE	20.5	FALSE
40	FALSE	1.5	FALSE
41	FALSE	0.5	FALSE
42	FALSE	0.5	FALSE
43	TRUE	4	FALSE
44	FALSE	2.5	FALSE
45	TRUE	0.5	FALSE
46	FALSE	7	FALSE
47	FALSE	4.5	FALSE
48	FALSE	2.5	FALSE
49	FALSE	0.5	FALSE
50	FALSE	4.5	FALSE
51	TRUE	4	FALSE
52	TRUE	1.5	FALSE
53	FALSE	1.5	FALSE
54	FALSE	2.5	FALSE
55	FALSE	2	FALSE
56	FALSE	8.5	FALSE
57	TRUE	6	FALSE
58	FALSE	5	FALSE
59	FALSE	9	FALSE
60	TRUE	9.5	FALSE
61	TRUE	2	FALSE
62	TRUE	3.5	FALSE
63	FALSE	6	FALSE
64	FALSE	1	FALSE
65	FALSE	3	FALSE
66	FALSE	2.5	FALSE
67	FALSE	1	FALSE
68	TRUE	2	FALSE
69	FALSE	9	FALSE
70	FALSE	3.5	FALSE
71	TRUE	4.5	TRUE
72	FALSE	1.5	TRUE
73	FALSE	1	FALSE
74	FALSE	5	FALSE
75	FALSE	18	FALSE
76	TRUE	2	FALSE
77	FALSE	1.5	FALSE
78	FALSE	2.5	FALSE
79	FALSE	6	FALSE
80	TRUE	2	FALSE
81	FALSE	7.5	FALSE
82	FALSE	4.5	FALSE
83	FALSE	0.5	FALSE
84	FALSE	0.5	FALSE
85	FALSE	4	FALSE
86	FALSE	5	FALSE
87	FALSE	9	FALSE
88	TRUE	18.5	FALSE
89	FALSE	8	FALSE
90	FALSE	1.5	FALSE
91	FALSE	2	FALSE
92	FALSE	1	FALSE
93	FALSE	2	FALSE
94	FALSE	4	FALSE
95	FALSE	1	FALSE
96	FALSE	2.5	FALSE
97	FALSE	1.5	FALSE
98	TRUE	5.5	FALSE
99	FALSE	8.5	FALSE
100	FALSE	1.5	FALSE
101	TRUE	10.5	FALSE
102	TRUE	4	FALSE
103	FALSE	0.5	FALSE
104	FALSE	1	FALSE
105	FALSE	3	FALSE
106	TRUE	5	FALSE
107	FALSE	1	FALSE
108	FALSE	2	FALSE
109	FALSE	0.5	FALSE
110	FALSE	4.5	TRUE
111	FALSE	2.5	FALSE
112	FALSE	0.5	FALSE
113	FALSE	1.5	FALSE
114	FALSE	6	FALSE
115	FALSE	6.5	FALSE
116	TRUE	5.5	FALSE
117	FALSE	2	FALSE
118	FALSE	7	FALSE
119	FALSE	4	FALSE
120	TRUE	4	FALSE
121	TRUE	5	FALSE
122	FALSE	8	FALSE
123	FALSE	3	FALSE
124	TRUE	1.5	FALSE
125	FALSE	3	FALSE
126	FALSE	1	FALSE
127	TRUE	5	FALSE
128	FALSE	2	FALSE
129	FALSE	2	FALSE
130	FALSE	6.5	FALSE
131	TRUE	1	FALSE
132	FALSE	1	FALSE
133	FALSE	2.5	FALSE
134	FALSE	1	FALSE
135	FALSE	5.5	FALSE
136	FALSE	8	FALSE
137	FALSE	0.5	FALSE
138	FALSE	0.5	FALSE
139	FALSE	1.5	FALSE
140	FALSE	0.5	FALSE
141	FALSE	1.5	FALSE
142	TRUE	5	FALSE
143	FALSE	0.5	FALSE
144	FALSE	5	FALSE
145	FALSE	7	FALSE
146	FALSE	2	FALSE
147	FALSE	6	FALSE
148	FALSE	0.5	FALSE
149	FALSE	11	FALSE
150	FALSE	1.5	FALSE
151	FALSE	5	FALSE
152	TRUE	5.5	FALSE
153	FALSE	5	FALSE
154	FALSE	1	FALSE
155	FALSE	3	FALSE
156	FALSE	5.5	FALSE
157	FALSE	1	FALSE
158	FALSE	4.5	FALSE
159	TRUE	5.5	FALSE
160	TRUE	2.5	FALSE
161	FALSE	1	FALSE
162	FALSE	3	FALSE
163	FALSE	6.5	TRUE
164	FALSE	17.5	FALSE
165	FALSE	3	FALSE
166	TRUE	4.5	FALSE
167	FALSE	3.5	FALSE
168	FALSE	1	FALSE
169	FALSE	2	FALSE
170	FALSE	7	FALSE
171	FALSE	2	FALSE
172	FALSE	2	FALSE
173	FALSE	4.5	FALSE
174	FALSE	3	FALSE
175	FALSE	1	FALSE
176	FALSE	1	FALSE
177	TRUE	4	FALSE
178	FALSE	0.5	FALSE
179	TRUE	2	FALSE
180	FALSE	4	FALSE
181	FALSE	1	FALSE
182	TRUE	10	FALSE
183	TRUE	6	FALSE
184	FALSE	0.5	FALSE
185	FALSE	1	FALSE
186	FALSE	3	FALSE
187	TRUE	0.5	FALSE
188	FALSE	1	FALSE
189	FALSE	4	FALSE
190	FALSE	2.5	FALSE
191	TRUE	11.5	FALSE
192	FALSE	4	FALSE
193	TRUE	2	FALSE
194	FALSE	2.5	FALSE
195	TRUE	6.5	FALSE
196	FALSE	5.5	FALSE
197	FALSE	3.5	FALSE
198	FALSE	1.5	FALSE
199	TRUE	3	FALSE
200	FALSE	3.5	FALSE
201	TRUE	7	FALSE
202	FALSE	6.5	FALSE
203	FALSE	2.5	FALSE
204	FALSE	0.5	FALSE
205	TRUE	5	FALSE
206	TRUE	6	FALSE
207	TRUE	3.5	FALSE
208	FALSE	0.5	FALSE
209	FALSE	2.5	FALSE
210	FALSE	2	FALSE
211	TRUE	4	FALSE
212	TRUE	10	FALSE
213	FALSE	1.5	FALSE
214	FALSE	2.5	FALSE
215	FALSE	6	FALSE
216	FALSE	7.5	FALSE
217	TRUE	13.5	FALSE
218	TRUE	7	FALSE
219	FALSE	2.5	FALSE
220	FALSE	1.5	FALSE
221	FALSE	1	FALSE
222	FALSE	1.5	FALSE
223	FALSE	1	FALSE
224	TRUE	4	FALSE
225	TRUE	2.5	FALSE
226	FALSE	2	FALSE
227	FALSE	3	FALSE
228	FALSE	4	FALSE
229	TRUE	7	FALSE
230	FALSE	0.5	FALSE
231	FALSE	1	FALSE
232	FALSE	5.5	FALSE
233	FALSE	1.5	FALSE
234	FALSE	4.5	FALSE
235	FALSE	10	FALSE
236	FALSE	5	FALSE
237	FALSE	1.5	FALSE
238	FALSE	3	FALSE
239	TRUE	5.5	FALSE
240	FALSE	0.5	FALSE
241	TRUE	2	FALSE
242	FALSE	3	FALSE
243	FALSE	2	FALSE
244	FALSE	2	FALSE
245	FALSE	6	FALSE
246	FALSE	4	FALSE
247	TRUE	2	FALSE
248	TRUE	2	FALSE
249	TRUE	2	FALSE
250	FALSE	5.5	FALSE
251	FALSE	3	FALSE
252	TRUE	2.5	FALSE
253	TRUE	0.5	FALSE
254	FALSE	3	FALSE
255	FALSE	2.5	FALSE
256	FALSE	8.5	FALSE
257	FALSE	0.5	FALSE
258	FALSE	5	FALSE
259	FALSE	7.5	FALSE
260	FALSE	1	FALSE
261	FALSE	0.5	FALSE
262	FALSE	3	FALSE
263	FALSE	3	FALSE
264	FALSE	0.5	FALSE
265	FALSE	5.5	FALSE
266	FALSE	1.5	FALSE
267	FALSE	1.5	FALSE
268	FALSE	15.5	FALSE
269	FALSE	4.5	FALSE
270	TRUE	1.5	FALSE
271	FALSE	1	FALSE
272	FALSE	0.5	FALSE
273	FALSE	10	FALSE
274	TRUE	1.5	FALSE
275	FALSE	5	FALSE
276	FALSE	12.5	FALSE
277	FALSE	1.5	FALSE
278	TRUE	1	FALSE
279	FALSE	6.5	FALSE
280	FALSE	3	FALSE
281	FALSE	1	FALSE
282	FALSE	1.5	FALSE
283	FALSE	2	FALSE
284	TRUE	10	FALSE
285	FALSE	1	FALSE
286	TRUE	3	FALSE
287	FALSE	11.5	FALSE
288	FALSE	3.5	FALSE
289	FALSE	1.5	FALSE
290	TRUE	2.5	FALSE
291	FALSE	13.5	FALSE
292	FALSE	2.5	FALSE
293	FALSE	2.5	FALSE
294	FALSE	3	FALSE
295	FALSE	4.5	FALSE
296	FALSE	1.5	FALSE
297	FALSE	2	FALSE
298	FALSE	8.5	FALSE
299	FALSE	3.5	FALSE
300	FALSE	1	FALSE
301	FALSE	6	FALSE
302	FALSE	1.5	FALSE
303	FALSE	2	FALSE
304	TRUE	3.5	FALSE
305	FALSE	7.5	FALSE
306	FALSE	8	FALSE
307	TRUE	4.5	FALSE
308	FALSE	2	FALSE
309	FALSE	1.5	FALSE
310	FALSE	3	FALSE
311	FALSE	4.5	FALSE
312	FALSE	2.5	FALSE
313	TRUE	6	FALSE
314	FALSE	1.5	FALSE
315	FALSE	0.5	FALSE
316	TRUE	4	FALSE
317	TRUE	7.5	FALSE
318	FALSE	2	FALSE
319	FALSE	1	FALSE
320	FALSE	0.5	FALSE
321	FALSE	1.5	FALSE
322	TRUE	0.5	FALSE
323	TRUE	1.5	FALSE
324	FALSE	1.5	FALSE
325	FALSE	1.5	FALSE
326	FALSE	1	FALSE
